title,authors,year,citations,scholar_id
"Penser la monnaie et la finance avec Marx. Contributions en l'honneur de Suzanne de Brunhoff","R Bellofiore, D Cohen, C Durand , A Orléan - 2018 - ideas.repec.org",2018,5,"16645958479878803506"
"Un césarisme bureaucratique: une lecture gramscienne de la crise Européenne","C Durand , R Keucheyan - Cédric Durand (éd.) …, 2013 - durandcedric.wordpress.com",2013,5,"18190639330962802333"
"100 years of Corporate Planning","H Bensussan , C Durand , C Rikap - 2023 - researchgate.net",2023,5,"9461143475135376608"
"Euro, plan B: sortir de la crise en Grèce, en France et en Europe","C Lapavitsas , H Flassbeck, C Durand , G Etievant… - 2016 - soas-repository.worktribe.com",2016,4,"16499533086064211348"
"From crisis to crisis: the high cost of the post-soviet institutional lock-in","C Durand , M Petrovski - SASE's 21st Annual Meeting «Capitalism in …, 2009 - hal.science",2009,4,"11518548201576055085"
"Financialization's conservation and transformation: from Mark I to Mark II","T Auvray, C Durand , J Rabinovich , C Rikap - 2020 - hal.science",2020,4,"12046333938209452943"
"Vers un césarisme européen","C Durand , R Keucheyan - Le Monde diplomatique, 2012",2012,4,"16095527886336045500"
"Uneven development patterns in global value chains","B Carballa Smichowski , C Durand , S Knauss - 2016 - econpapers.repec.org",2016,4,"8910218659438165373"
"Vers un retour de la question de l'état stationnaire? Les analyses marxistes, post-keynesiennes et régulationnistes face à l'après-crise","C Durand , P Légé - Les enseignements de la crise des Subprimes. Paris …, 2011",2011,4,"5469567927649948171"
"Les scenarii de dissolution de l'euro","J Sapir, P Murer, C Durand - 2013 - Paris: Fondation Res Publica",2013,4,"13933069830909669281"
"How Much Does Offshoring Matter?","F Besson, C Durand , S Miroudot - The Oxford Handbook of …, 2013 - books.google.com",2013,3,"1203505698431102024"
"Making profits by leading retailers in the digital transition: A comparative analysis of Carrefour, Amazon and Wal-Mart (1996-2019)","C Baud , C Durand - 2021 - hal.science",2021,3,"9942688397248340732"
"Crisis in the European monetary union: A core-periphery perspective","F Bassi, C Durand - Economia Politica, 2018 - Springer",2018,3,"1124179413719527158"
"A European Capitalism? Revisiting the Mandel–Poulantzas Debate","T Auvray, C Durand - The end of the democratic state: Nicos Poulantzas, a …, 2018 - Springer",2018,3,"6424153410952286047"
"Digital Sovereignty in Switzerland: The laboratory of federalism","…, F Bernard, C Durand - Risiko & Recht, 2023 - access.archive-ouverte.unige.ch",2023,3,"12255519558526489535"
"Las multinacionales en América Latina: expansión, impacto y resistencias","C Durand , A Saludjian - Revista mensual de la Izquierda …, 2009 - patriagrande.elpais.bo",2009,3,"4491275961442226875"
"3. Un capitalisme européen? Retour sur le débat Mandel-Poulantzas","T Auvray, C Durand - La fin de l'État démocratique, 2016 - shs.cairn.info",2016,3,"15935489632219286351"
"Too big, too quick?. An institutional and systemic overview of the rise of Russian metallurgical transnationals","C Durand , M Lautier - Revue d'économie industrielle, 2013 - journals.openedition.org",2013,3,"13201556118765393369"
"America's braudelian autumn","B Braun , C Durand - Phenomenal World, 2025 - access.archive-ouverte.unige.ch",2025,3,"13405422982174056538"
"Altermondialistes: chronique d'une révolution en marche","L Abrassart, C Durand - 2006 - Éditions Alternatives",2006,3,"3657704768596400996"
"La planification aujourd'hui","C Durand - 2019",2019,3,"11702931735900133770"
"Un internationalisme écosocialiste: socialisation et émancipation à l'âge de la crise écologique","C Durand , R Keucheyan - GREEN, 2022 - shs.cairn.info",2022,3,"15657044518948466953"
"Une analyse institutionnaliste de la coordination industrielle: étude des transformations de la métallurgie russe (1992-2001)","C Durand - 2002 - theses.fr",2002,3,"2377065807914936058"
"Le retour de l'État producteur en Russie","C Durand - Merlin, Claude (Hg.): Où va la Russie, 2007",2007,3,"9964193859684143997"
"THE WORKERS HAVE NO EUROPE.","C Durand - Catalyst: A Journal of Theory & Strategy, 2018 - search.ebscohost.com",2018,2,"16236172252669303440"
"Le fil invisible du capital: déchiffrer les mécanismes de l'exploitation","U Lojkine, C Durand - 2025 - La Découverte",2025,2,"426058738885730210"
